,name,sp,mrp,seller,fsn,,,,,,,fsns,sellers,,,,,sellers
0," Small Cabin Suitcase (57 cm) - Optative Polycarbonate Hardsided Suitcase|Expandable CabinTravel Luggage Bag | 8 Wheel Trolley | 16-2398-08 |Palm Mauve , 55 cm - Pink ","5,791","11,699"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(199, 219), match='pid=STCFNH7GXDVJBUG3 ",,,,,,,STCFNH7GXDVJBUG3 ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
1," Large Check-in Suitcase (83 cm) - Optative Polycarbonate Hardsided Suitcase|Expandable LargeTravel Luggage Bag | 8 Wheel Trolley | 16-2398-08 |Palm Mauve , 81 cm - Pink ","8,634","13,400"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(202, 222), match='pid=STCFNH7G7AC9ZJQZ ",,,,,,,STCFNH7G7AC9ZJQZ ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
2, Small Cabin Suitcase (55 cm) - Radiate - Green ,"5,741","11,599"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(83, 103), match='pid=STCG4NS7QCAMEJRG ",,,,,,,STCG4NS7QCAMEJRG ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
3, Small Cabin Suitcase (56 cm) - Debonair Polyester Softsided - Purple ,"6,599","10,999"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(104, 124), match='pid=STCFCVUWYV8VFPSF ",,,,,,,STCFCVUWYV8VFPSF ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
4," Large Cabin &amp; Check-in Set (80 cm) - Tidal Polycarbonate Hardsided Suitcase|Expandable Combo-Large, Medium &amp; CabinTravel Luggage Bag|8 Wheel Trolley|16-2327-08 |Set of 3 Black /Grey, 80cm,63 cm,47cm - Black ","21,449","42,897"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(235, 255), match='pid=STCFN6RWGGZDEAWJ ",,,,,,,STCFN6RWGGZDEAWJ ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
5, Check-in Suitcase (81.5 cm) - Hybrifusion - Red ,"9,479","15,799"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(90, 110), match='pid=STCG4QKQCFQAWER6 ",,,,,,,STCG4QKQCFQAWER6 ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
6, Large Check-in Suitcase (70 cm) - Debonair Polyester Softsided - Purple ,"7,799","12,999"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(107, 127), match='pid=STCFCVUWGEKQ3685 ",,,,,,,STCFCVUWGEKQ3685 ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
7, Large Check-in Suitcase (70 cm) - Debonair Polyester Softsided - Black ,"7,799","12,999"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(107, 127), match='pid=STCFCVUWYDHG5HPJ ",,,,,,,STCFCVUWYDHG5HPJ ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
8, Large Check-in Suitcase (80 cm) - Debonair Polyester Softsided - Blue ,"8,999","14,999"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(107, 127), match='pid=STCFCVUWHNNRZXBH ",,,,,,,STCFCVUWHNNRZXBH ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
9, Large Check-in Suitcase (80 cm) - Debonair Polyester Softsided - Black ,"8,999","14,999"," Zero7 Enterprise <img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(107, 127), match='pid=STCFCVUWFHWYWUCN ",,,,,,,STCFCVUWFHWYWUCN ," Zero7 Enterprise <img class=""_1wB99o"" src=""data:i",,,,, Zero7 Enterprise 
10," Large Check-in Suitcase (81 cm) - Optative Polycarbonate Hardsided Suitcase|Expandable LargeTravel Luggage Bag | 8 Wheel Trolley | 16-2398-08 |Pewter, 81 cm - Grey ","7,771","13,400"," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxMyIgaGVpZ2h0PSIxMiI+PHBhdGggZmlsbD0iI0ZGRiIgZD0iTTYuNSA5LjQzOWwtMy42NzQgMi4yMy45NC00LjI2LTMuMjEtMi44ODMgNC4yNTQtLjQwNEw2LjUuMTEybDEuNjkgNC4wMSA0LjI1NC40MDQtMy4yMSAyLjg4Mi45NCA0LjI2eiIvPjwvc3ZnPg==""/>   ","<re.Match object; span=(198, 218), match='pid=STCFNH7GHTDFKDDQ ",,,,,,,STCFNH7GHTDFKDDQ ," PLTourFairyPvtLtd 6<img class=""_1wB99o"" src=""data",,,,, PLTourFairyPvtLtd 
